Class of Vehicle,Make/Manufa. Name,Model,Country,Fuel Used,Cylinder Capacity,District,Registration Status,YOM,No of vehicle,Model_Code,Clean_Name
CAR,BYD,ATTO-3-SUPERIOR,CHINA,ELECTRIC,100.0,GAMPAHA,BRAND NEW,2025.0,50,ATTO-3-SUPERIOR,Unknown
CAR,DAIHATSU,5BA-LA910S TAFT,JAPAN,PETROL,658.0,COLOMBO,RECONDITIONED,2024.0,2,5BA-LA910S,TAFT
CAR,TOYOTA,YARIS CROSS,JAPAN,PETROL/ELE,1496.0,COLOMBO,RECONDITIONED,2025.0,1,,YARIS CROSS
CAR,DAIHATSU,5BA-LA900S  TAFT,JAPAN,PETROL,658.0,COLOMBO,RECONDITIONED,2023.0,2,5BA-LA900S,TAFT
CAR,HONDA,CITY RS,THAILAND,PETROL,988.0,KALUTARA,RECONDITIONED,2025.0,5,,CITY RS
CAR,KIA,SONET,INDIA,PETROL,998.0,JAFFNA,BRAND NEW,2025.0,1,,SONET
CAR,TOYOTA,5BA-KSP210  YARIS,JAPAN,PETROL,998.0,GAMPAHA,RECONDITIONED,2022.0,1,5BA-KSP210,YARIS
CAR,HONDA,CITY,THAILAND,PETROL,988.0,COLOMBO,RECONDITIONED,2025.0,5,,CITY
CAR,TOYOTA,5AA-A202A RAIZE,JAPAN,PETROL/ELE,1196.0,COLOMBO,RECONDITIONED,2024.0,5,5AA-A202A,RAIZE
CAR,NISSAN,5BA-B43W DAYZ,JAPAN,PETROL,658.0,KALUTARA,RECONDITIONED,2024.0,3,5BA-B43W,DAYZ
CAR,TOYOTA,LAND CRUISER,JAPAN,DIESEL,3345.0,GAMPAHA,RECONDITIONED,2024.0,1,,LAND CRUISER
CAR,TOYOTA,YARIS CROSS,THAILAND,PETROL/ELE,1496.0,COLOMBO,RECONDITIONED,2025.0,34,,YARIS CROSS
CAR,TOYOTA,5BA-A201A RAIZE,JAPAN,PETROL,1196.0,KALUTARA,RECONDITIONED,2023.0,7,5BA-A201A,RAIZE
CAR,TATA,TIAGO -EV,INDIA,ELECTRIC,48.0,COLOMBO,BRAND NEW,2025.0,1,,TIAGO -EV
CAR,HONDA,6AA-RV5 VEZEL,JAPAN,PETROL/ELE,1496.0,RATNAPURA,RECONDITIONED,2023.0,4,6AA-RV5,VEZEL
CAR,TOYOTA,5AA-A202A RAIZE,JAPAN,PETROL/ELE,78.0,GAMPAHA,RECONDITIONED,2025.0,30,5AA-A202A,RAIZE
CAR,SUZUKI,5BA-MH85S WAGON R,JAPAN,PETROL,658.0,GALLE,RECONDITIONED,2024.0,6,5BA-MH85S,WAGON R
CAR,HONDA,6AA-RV5 VEZEL,JAPAN,PETROL/ELE,1496.0,GAMPAHA,RECONDITIONED,2025.0,113,6AA-RV5,VEZEL
CAR,HONDA,6AA-RV5 VEZEL,JAPAN,PETROL/ELE,1496.0,KALUTARA,RECONDITIONED,2025.0,41,6AA-RV5,VEZEL
CAR,TOYOTA,5AA-A202A RAIZE,JAPAN,ELECTRIC,78.0,GAMPAHA,RECONDITIONED,2023.0,4,5AA-A202A,RAIZE
CAR,TOYOTA,5AA-A202A RAIZE,JAPAN,PETROL/ELE,78.0,BATTICALOA,RECONDITIONED,2025.0,13,5AA-A202A,RAIZE
CAR,SUZUKI,5BD-MK33V SPACIA,JAPAN,PETROL,658.0,MATARA,RECONDITIONED,2023.0,1,5BD-MK33V,SPACIA
CAR,TOYOTA,6AA-MXPK11 AQUA,JAPAN,PETROL/ELE,1496.0,GAMPAHA,RECONDITIONED,2024.0,1,6AA-MXPK11,AQUA
CAR,WULING,CLOUD EV,INDONESIA,ELECTRIC,100.0,COLOMBO,BRAND NEW,2025.0,1,,CLOUD EV
CAR,BYD,DOLPHIN-DYNAMIC 70,CHINA,ELECTRIC,70.0,KEGALLE,BRAND NEW,2025.0,1,,DOLPHIN-DYNAMIC 70
CAR,HONDA,6AA-RV5 VEZEL,JAPAN,PETROL/ELE,1496.0,TRINCOMALEE,RECONDITIONED,2024.0,2,6AA-RV5,VEZEL
CAR,TOYOTA,5AA-A202A RAIZE,JAPAN,ELECTRIC,78.0,RATNAPURA,RECONDITIONED,2025.0,2,5AA-A202A,RAIZE
