Class of Vehicle,Make/Manufa. Name,Model,Country,Fuel Used,Cylinder Capacity,District,Registration Status,No of vehicle,Model_Code,Clean_Name
CAR,VOLVO,5AA-UB420TXCM XC60,SWEDEN,PETROL,1960.0,COLOMBO,RECONDITIONED,1,5AA-UB420TXCM,XC60
MOTOR CYCLE,HONDA,PCX 125,VIETNAM,PETROL,124.0,PUTTALAM,RECONDITIONED,4,,PCX 125
MOTOR CYCLE,HONDA,PCX,JAPAN,PETROL,124.0,GAMPAHA,RECONDITIONED,2,,PCX
CAR,TOYOTA,3BA-ZRE212  COROLLA,JAPAN,PETROL,1790.0,COLOMBO,RECONDITIONED,1,3BA-ZRE212,COROLLA
CAR,TESLA,MODEL 3 ELECTRIC,U.S.A,ELECTRIC,194.0,KALUTARA,RECONDITIONED,1,,MODEL 3 ELECTRIC
CAR,MERCEDES BENZ,EQB 250,GERMANY,ELECTRIC,140.0,COLOMBO,RECONDITIONED,1,,EQB 250
MOTOR CYCLE,HONDA,PCX 125,JAPAN,PETROL,125.0,COLOMBO,RECONDITIONED,1,,PCX 125
MOTOR CYCLE,RISE,LEADER R80,SRI LANKA,ELECTRIC,2.0,KALUTARA,BRAND NEW-L/MANUFACT,4,,LEADER R80
MOTOR CYCLE,RISE,LEADER R80,SRI LANKA,ELECTRIC,2.0,COLOMBO,BRAND NEW-L/MANUFACT,5,,LEADER R80
DUAL PURPOSE (COMMERCIAL),EMPEROR,LN130,SRI LANKA,DIESEL,2446.0,GAMPAHA,LOCALLY ASSEMBLED,1,,LN130
MOTOR CYCLE,RISE,LEADER R 100,SRI LANKA,ELECTRIC,2.0,GALLE,BRAND NEW-L/MANUFACT,15,,LEADER R 100
