Class of Vehicle,Make/Manufa. Name,Model,Country,Fuel Used,Cylinder Capacity,District,Registration Status,No of vehicle,Model_Code,Clean_Name
CAR,EMPEROR,NZE 121,SRI LANKA,PETROL,1497.0,KURUNEGALA,USED PARTS-ASSEMBLED,1,,NZE 121
TRACTOR TRAILER/BOWSER,LOCALLY BUILT,TRACTOR TRAILER,SRI LANKA,NOT STATED,0.0,MONERAGALA,LOCALLY BUILT,14,,TRACTOR TRAILER
TRACTOR TRAILER/BOWSER,LOCALLY BUILT,LOW BED TRAILER,SRI LANKA,NOT STATED,0.0,RATNAPURA,LOCALLY BUILT,1,,LOW BED TRAILER
LORRY TRAILER/BOWSER,LANKA ASHOK LEYLAND,TAILER,SRI LANKA,NOT STATED,0.0,GAMPAHA,LOCALLY BUILT,1,,TAILER
LORRY TRAILER/BOWSER,DUTCH LANKA TRAILER,DLST-20/30T,SRI LANKA,NOT STATED,0.0,COLOMBO,LOCALLY BUILT,5,DLST-20,/30T
LORRY TRAILER/BOWSER,DUTCH LANKA TRAILER,DLST-40/40T,SRI LANKA,NOT STATED,0.0,COLOMBO,LOCALLY BUILT,8,DLST-40,/40T
MOTOR CYCLE,QUANLE,ZL,CHINA,ELECTRIC,2.0,MATALE,BRAND NEW,2,,ZL
MOTOR CYCLE,QUANLE,XGW,CHINA,ELECTRIC,1.2,HAMBANTOTA,BRAND NEW,3,,XGW
MOTOR CYCLE,SOLID,LEO,CHINA,ELECTRIC,1.2,GAMPAHA,BRAND NEW,3,,LEO
COMMERCIAL,TOYOTA,COASTER XZB70R-ZGMSY,JAPAN,DIESEL,4009.0,COLOMBO,BRAND NEW,3,,COASTER XZB70R-ZGMSY
MOTOR CYCLE,YADEA,T5,CHINA,ELECTRIC,1.2,KALUTARA,BRAND NEW,27,,T5
MOTOR CYCLE,YADEA,T5,CHINA,ELECTRIC,1.2,TRINCOMALEE,BRAND NEW,18,,T5
MOTOR CYCLE,YADEA,T5,CHINA,ELECTRIC,1.2,KEGALLE,BRAND NEW,6,,T5
MOTOR CYCLE,LUYUAN ALFA,M-MKK-Z30LJ-12-C,CHINA,ELECTRIC,1.8,GAMPAHA,BRAND NEW,1,,M-MKK-Z30LJ-12-C
MOTOR CYCLE,YADEA,RUIBIN,CHINA,ELECTRIC,0.8,ANURADHAPURA,BRAND NEW,2,,RUIBIN
MOTOR CYCLE,LUYUAN,MNK3,CHINA,ELECTRIC,1.5,TRINCOMALEE,BRAND NEW,3,,MNK3
LAND VEHICLE (SMALL),NEW LION,RV125-2,CHINA,DIESEL,624.0,KANDY,BRAND NEW,2,RV125-2,Unknown
SPECIAL PURPOSE VEHICLE,CATERPILLAR,426 07 A,INDIA,DIESEL,4400.0,GAMPAHA,BRAND NEW,1,,426 07 A
MOTOR CYCLE,LUYUAN,MYT,CHINA,ELECTRIC,0.8,MATARA,BRAND NEW,1,,MYT
MOTOR CYCLE,REVOLT,RV 400,INDIA,ELECTRIC,3.0,MATARA,BRAND NEW,1,,RV 400
