Vehicle Type,Make,Model,Year,Price,Milleage,District,published date,Vehicle URL
Three Wheel,Bajaj,4 Stroke,2011,"Rs. 1,060,000",29658,Galle,2026-02-25,https://riyasewana.com/buy/bajaj-4-stroke-sale-galle-11260107
Three Wheel,Bajaj,2 Stroke,2006,"Rs. 790,000",80402,Ampara,2026-02-25,https://riyasewana.com/buy/bajaj-2-stroke-sale-ampara-11260106
Car,Suzuki,SX4,2010,"Rs. 4,990,000",160000,Colombo,2026-02-25,https://riyasewana.com/buy/suzuki-sx4-sale-colombo-11260104
SUV,Micro,Tivoli,2015,"Rs. 7,800,000",148000,Malabe,2026-02-25,https://riyasewana.com/buy/micro-tivoli-sale-malabe-11260103
Van,Suzuki,Every,2011,"Rs. 4,850,000",86400,Gampaha,2026-02-25,https://riyasewana.com/buy/suzuki-every-sale-gampaha-11260102
Car,Suzuki,Wagon R FX,2017,"Rs. 6,090,000",54456,Malabe,2026-02-25,https://riyasewana.com/buy/suzuki-wagon-r-sale-malabe-11260101
Van,Toyota,Noah KR42 GL V3,2007,"Rs. 8,450,000",187000,Horana,2026-02-25,https://riyasewana.com/buy/toyota-noah-kr42-sale-horana-11260100
Motorbike,Hero,Dash,2016,"Rs. 278,000",41000,Kurunegala,2026-02-25,https://riyasewana.com/buy/hero-dash-sale-kurunegala-11260099
Motorbike,TVS,Ntorq 125 Race Edition,2024,"Rs. 670,000",29500,Ratnapura,2026-02-25,https://riyasewana.com/buy/tvs-ntorq-125-sale-ratnapura-11260098
Car,Suzuki,Wagon R FZ,2017,"Rs. 6,775,000",93601,Malabe,2026-02-25,https://riyasewana.com/buy/suzuki-wagon-r-sale-malabe-11260097
Car,Perodua,Viva Elite,2012,"Rs. 4,285,000",119000,Malabe,2026-02-25,https://riyasewana.com/buy/perodua-viva-elite-sale-malabe-11260096
Car,Suzuki,Wagon R Stingray,2018,"Rs. 6,695,000",63000,Colombo,2026-02-25,https://riyasewana.com/buy/suzuki-wagon-r-sale-colombo-11260095
SUV,Micro,Kyron,2009,"Rs. 5,675,000",178,Negombo,2026-02-25,https://riyasewana.com/buy/micro-kyron-sale-negombo-11260094
Motorbike,Honda,Shine,2017,"Rs. 400,000",55000,Jaffna,2026-02-20,https://riyasewana.com/buy/honda-shine-sale-jaffna-11235801
Motorbike,Honda,Dio,2018,"Rs. 540,000",37000,Kiribathgoda,2026-02-25,https://riyasewana.com/buy/honda-dio-sale-kiribathgoda-11260075
Car,Toyota,VITZ EDITION 2 SAFETY,2018,"Rs. 7,650,000",73200,Negombo,2026-02-25,https://riyasewana.com/buy/toyota-vitz-edition-sale-negombo-11259473
Motorbike,Honda,PCX Japan,2017,"Rs. 1,099,000",37000,Veyangoda,2026-02-24,https://riyasewana.com/buy/honda-pcx-japan-sale-veyangoda-11253030
SUV,Honda,Vezel,2019,Negotiable,113000,Colombo,2026-02-25,https://riyasewana.com/buy/honda-vezel-sale-colombo-11260093
Car,Mitsubishi,Lancer,1978,"Rs. 390,000",1234,Padukka,2026-02-25,https://riyasewana.com/buy/mitsubishi-lancer-sale-padukka-11260092
Car,Perodua,Axia,2025,"Rs. 7,990,000",3314,Malabe,2026-02-25,https://riyasewana.com/buy/perodua-axia-sale-malabe-11260091
SUV,Toyota,CHR GT TURBO 2WD 53000KM,2018,"Rs. 13,490,000",53000,Colombo,2026-02-25,https://riyasewana.com/buy/toyota-chr-gt-sale-colombo-11260090
Car,Suzuki,Maruti 800 Sports,2012,"Rs. 2,295,000",82000,Kandy,2026-02-25,https://riyasewana.com/buy/suzuki-maruti-800-sale-kandy-11260089
Car,Toyota,IST,2007,Negotiable,112500,Matale,2026-02-25,https://riyasewana.com/buy/toyota-ist-sale-matale-11260088
Car,Suzuki,Wagon R,2016,Negotiable,94000,Kandy,2026-02-25,https://riyasewana.com/buy/suzuki-wagon-r-sale-kandy-11260087
Three Wheel,Bajaj,4 Stroke,2009,"Rs. 1,160,000",,Avissawella,2026-02-25,https://riyasewana.com/buy/bajaj-4-stroke-sale-avissawella-11260086
SUV,Micro,Rexton Power Up,2008,"Rs. 6,950,000",210000,Nittambuwa,2026-02-25,https://riyasewana.com/buy/micro-rexton-power-sale-nittambuwa-11260085
Car,Audi,A5 S Line Cabriolet,2018,"Rs. 32,500,000",50000,Colombo,2026-02-25,https://riyasewana.com/buy/audi-a5-s-sale-colombo-11260084
SUV,DFSK,Glory I-Auto,2021,"Rs. 9,900,000",21000,Colombo,2026-02-25,https://riyasewana.com/buy/dfsk-glory-i-auto-sale-colombo-11260081
Car,Suzuki,HUSTLER G,2016,"Rs. 5,875,000",114556,Kadawatha,2026-02-25,https://riyasewana.com/buy/suzuki-hustler-g-sale-kadawatha-11260080
Van,Suzuki,EVERY FULL,2018,"Rs. 6,350,000",89000,Colombo,2026-02-25,https://riyasewana.com/buy/suzuki-every-full-sale-colombo-11260079
Motorbike,Yamaha,Fz Version 3,2019,Negotiable,42000,Galle,2026-02-25,https://riyasewana.com/buy/yamaha-fz-version-sale-galle-11260078
Motorbike,TVS,Wego,2017,"Rs. 429,000",66600,Matara,2026-02-25,https://riyasewana.com/buy/tvs-wego-sale-matara-11260077
Motorbike,Senaro,GN125,2024,"Rs. 475,000",13500,Colombo,2026-02-25,https://riyasewana.com/buy/senaro-gn125-sale-colombo-11260076
Motorbike,Honda,Dio,2018,"Rs. 540,000",37000,Kiribathgoda,2026-02-25,https://riyasewana.com/buy/honda-dio-sale-kiribathgoda-11260075
SUV,Mahindra,KUV 100 Nxt K6,2025,"Rs. 7,600,000",8000,Balangoda,2026-02-25,https://riyasewana.com/buy/mahindra-kuv-100-sale-balangoda-11260074
Car,Suzuki,Wagon R FX Hybrid,2018,Negotiable,76000,Moneragala,2026-02-25,https://riyasewana.com/buy/suzuki-wagon-r-sale-moneragala-11260073
Car,Toyota,Axio G Grade,2016,"Rs. 11,000,000",127000,Piliyandala,2026-02-25,https://riyasewana.com/buy/toyota-axio-g-sale-piliyandala-11260072
Car,Nissan,Cedric Y32,1994,"Rs. 3,300,000",176000,Wennappuwa,2026-02-25,https://riyasewana.com/buy/nissan-cedric-y32-sale-wennappuwa-11260071
Car,Volkswagen,T-cross,2024,"Rs. 14,300,000",3000,Colombo,2026-02-25,https://riyasewana.com/buy/volkswagen-t-cross-sale-colombo-11260070
SUV,DFSK,I-Auto,2024,Negotiable,6000,Colombo,2026-02-25,https://riyasewana.com/buy/dfsk-i-auto-sale-colombo-11260069
Car,Suzuki,Wagon R FX,2018,"Rs. 5,875,000",1,Kegalle,2026-02-25,https://riyasewana.com/buy/suzuki-wagon-r-sale-kegalle-11260068
Motorbike,Honda,Navi,2017,"Rs. 315,000",30000,Nittambuwa,2026-02-25,https://riyasewana.com/buy/honda-navi-sale-nittambuwa-11260067
Motorbike,Hero-Honda,Glenmore,2014,"Rs. 250,000",,Kurunegala,2026-02-25,https://riyasewana.com/buy/hero-honda-glenmore-sale-kurunegala-11260066
SUV,Toyota,Land Cruiser Sahara V8 100 Prado,2003,"Rs. 20,950,000",74500,Battaramulla,2026-02-25,https://riyasewana.com/buy/toyota-land-cruiser-sale-battaramulla-11260065
Three Wheel,Bajaj,RE,2002,"Rs. 575,000",85266,Kaduwela,2026-02-25,https://riyasewana.com/buy/bajaj-re-sale-kaduwela-11260064
Car,Bajaj,Qute,2020,"Rs. 1,450,000",29000,Batticaloa,2026-02-25,https://riyasewana.com/buy/bajaj-qute-sale-batticaloa-11260063
Motorbike,Other,CG,2005,Negotiable,43206,Galle,2026-02-25,https://riyasewana.com/buy/other-cg-sale-galle-11260062
Car,Toyota,YARIS,2022,Negotiable,8000,Gampaha,2026-02-25,https://riyasewana.com/buy/toyota-yaris-sale-gampaha-11260061
Car,Toyota,Corolla NZE121 G Grade Japan,2000,Negotiable,163000,Kurunegala,2026-02-25,https://riyasewana.com/buy/toyota-corolla-nze121-sale-kurunegala-11260060
,Bajaj,CT-100,2011,"Rs. 262,000",75000,Mawanella,2026-02-25,https://riyasewana.com/buy/bajaj-ct-100-sale-mawanella-11259984
SUV,Mitsubishi,MONTERO V93 GLS,2010,"Rs. 18,300,000",165866,Kadawatha,2026-02-25,https://riyasewana.com/buy/mitsubishi-montero-v93-sale-kadawatha-11260059
Car,Suzuki,SWIFT RS TURBO,2018,"Rs. 8,750,000",66000,Colombo,2026-02-25,https://riyasewana.com/buy/suzuki-swift-rs-sale-colombo-11260057
